trading_date,wind_code,open,high,low,close,volume,pct_chg,vwap,adj_factor,turn,free_turn,is_st,trade_status,close/free_turn,open/turn,volume/low,vwap/high,low/high,vwap/close
2021-09-09,301057.SZ,26.8,28.88,24.92,25.39,17451134.0,216.189,27.101,1.0,67.405,67.405,0,交易,0.37667828796083375,0.3975966174616126,700286.2760834671,0.9384002770083103,0.8628808864265929,1.0673887357227254
2021-09-10,301057.SZ,23.4,28.68,22.88,27.3,16233546.0,7.523,25.786,1.0,62.702,62.702,0,交易,0.4353928104366687,0.3731938375171446,709508.1293706294,0.8990934449093445,0.797768479776848,0.9445421245421246
2021-09-13,301057.SZ,24.78,25.1,23.45,23.86,12324084.0,-12.601,24.171,1.0,47.602,47.602,0,交易,0.501239443720852,0.5205663627578674,525547.2921108742,0.9629880478087649,0.9342629482071713,1.0130343671416597
2021-09-14,301057.SZ,23.1,23.9,22.58,23.9,9537972.0,0.168,23.175,1.0,36.84,36.84,0,交易,0.6487513572204126,0.6270358306188925,422407.9716563331,0.9696652719665273,0.9447698744769875,0.9696652719665273
2021-09-15,301057.SZ,23.29,23.87,22.81,22.91,7243787.0,-4.142,23.121,1.0,27.979,27.979,0,交易,0.8188284070195504,0.8324100218020658,317570.6707584393,0.9686217008797653,0.9555927943024717,1.0092099519860322
2021-09-16,301057.SZ,22.61,23.49,22.59,22.61,6794447.0,-1.309,23.036,1.0,26.243,26.243,0,交易,0.8615630834889304,0.8615630834889304,300772.33289065957,0.9806726266496383,0.9616858237547893,1.018841220698806
2021-09-17,301057.SZ,22.32,22.47,21.5,21.51,6524571.0,-4.865,21.845,1.0,25.201,25.201,0,交易,0.8535375580334115,0.8856791397166779,303468.4186046512,0.9721851357365376,0.9568313306631064,1.015574151557415
2021-09-22,301057.SZ,21.2,21.56,21.02,21.12,3959321.0,-1.813,21.215,1.0,15.293,15.293,0,交易,1.3810239979075396,1.386255149414765,188359.70504281638,0.9839981447124305,0.9749536178107607,1.004498106060606
2021-09-23,301057.SZ,21.25,21.58,21.17,21.55,3970844.0,2.036,21.376,1.0,15.337,15.337,0,交易,1.4050987807263482,1.3855382408554475,187569.39064714217,0.9905468025949955,0.9810009267840595,0.9919257540603249
2021-09-24,301057.SZ,21.69,22.0,20.56,20.57,5022170.0,-4.548,21.176,1.0,19.398,19.398,0,交易,1.0604185998556552,1.1181565109805136,244268.96887159534,0.9625454545454545,0.9345454545454545,1.0294603791929995
2021-09-27,301057.SZ,20.15,20.41,19.6,19.77,3554708.0,-3.889,19.964,1.0,13.73,13.73,0,交易,1.4399126001456664,1.467589220684632,181362.65306122447,0.9781479666829984,0.96031357177854,1.0098128477491148
2021-09-28,301057.SZ,19.8,20.17,19.53,20.17,2406189.0,2.023,19.866,1.0,9.294,9.294,0,交易,2.1702173445233486,2.130406714009038,123204.7619047619,0.9849281110560237,0.9682697074863659,0.9849281110560237
